Neighborhood,LONGITUDE,LATITUDE,OBJECTID,Shape__Area,Shape__Length
Wexford/Maryvale ,-79.29863657,43.74857214,16492577,19681963.17,19657.23407
Willowdale East ,-79.40148379,43.77060226,16492593,9712453.094,13142.25508
Willowdale West ,-79.4275578,43.77121049,16492609,5533653.191,10354.99044
Willowridge-Martingrove-Richview ,-79.55422105,43.68364496,16492625,10558603.39,16679.02372
Woburn ,-79.22858577,43.76674024,16492641,23664994.21,25089.81542
Woodbine Corridor ,-79.31540738,43.67677292,16492657,3052518.055,7512.966773
Woodbine-Lumsden ,-79.31116353,43.69410674,16492673,2289738.063,6740.993554
Wychwood ,-79.42551495,43.67691927,16491505,3217959.609,7515.779658
Yonge-Eglinton ,-79.40359017,43.70468937,16491521,3160333.988,7872.021074
Yonge-St.Clair ,-79.39787077,43.68785887,16491537,2222464.266,8130.411276
York University Heights ,-79.48888293,43.76573649,16491553,25418210.13,25632.33524
Yorkdale-Glen Park ,-79.45710807,43.71467153,16491569,11566687.56,13953.4081
