Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Uptown , Dallas, TX",32.803657,-96.798105,Massage Envy - Uptown at West Village,32.807937,-96.798504,Spa
"Uptown , Dallas, TX",32.803657,-96.798105,Sushi Zushi,32.80739325442108,-96.79652598232904,Sushi Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Mi Cocina,32.807729151711435,-96.79787270753643,Mexican Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Public School 214,32.807596,-96.796218,Gastropub
"Uptown , Dallas, TX",32.803657,-96.798105,Howard Wang's Uptown Brasserie,32.806654858393934,-96.80054761657145,Asian Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Malai Thai Vietnamese Kitchen & Bar,32.80876280389262,-96.79672229707585,Thai Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Cru Wine Bar,32.807801993948935,-96.79808378660282,Wine Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Suitsupply (Dallas Flagship Store),32.8081430050917,-96.79634185309479,Men's Store
"Uptown , Dallas, TX",32.803657,-96.798105,Avalon Salon and Spa,32.80919298959927,-96.79623331185628,Salon / Barbershop
"Uptown , Dallas, TX",32.803657,-96.798105,Salon Blanc,32.79932446279499,-96.80228174959322,Salon / Barbershop
"Uptown , Dallas, TX",32.803657,-96.798105,CVS pharmacy,32.80706750377956,-96.79806575558487,Pharmacy
"Uptown , Dallas, TX",32.803657,-96.798105,The Quarter Bar,32.80464766715962,-96.79938686792161,Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Salata,32.808817,-96.79489,Salad Place
"Uptown , Dallas, TX",32.803657,-96.798105,The Standard Pour,32.79970662,-96.80066673,Cocktail Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Taco Diner,32.80787248965967,-96.79791041847044,Taco Place
"Uptown , Dallas, TX",32.803657,-96.798105,Sablon Chocolate Lounge,32.808877785919854,-96.79596472859903,Dessert Shop
"Uptown , Dallas, TX",32.803657,-96.798105,Village Burger Bar,32.80909131013368,-96.79714196253425,New American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Optique,32.807582805864044,-96.79650668209278,Accessories Store
"Uptown , Dallas, TX",32.803657,-96.798105,Oak Lawn Park,32.80822283995447,-96.80383045216477,Park
"Uptown , Dallas, TX",32.803657,-96.798105,Trophy Fitness Uptown,32.799861339886036,-96.80189605057106,Business Service
"Uptown , Dallas, TX",32.803657,-96.798105,State & Allen Kitchen + Bar,32.797476484258475,-96.79812844225916,American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Parliament,32.79776514331032,-96.79856869261927,Cocktail Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Eureka!,32.8083795,-96.7959303,American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,The Ginger Man,32.79831785224169,-96.80297494766599,Beer Garden
"Uptown , Dallas, TX",32.803657,-96.798105,Bisous Bisous Pâtisserie,32.80804166345898,-96.79627481081171,Dessert Shop
"Uptown , Dallas, TX",32.803657,-96.798105,Theatre 3,32.799155534414076,-96.8032481890932,Theater
"Uptown , Dallas, TX",32.803657,-96.798105,Alcove Wine Bar,32.7974405547001,-96.79781313405601,Wine Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Texas de Brazil - Dallas,32.801288171943,-96.80584695379513,Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Bowen House,32.79789827028123,-96.80201236875851,Cocktail Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Kendra Scott,32.808034,-96.797833,Jewelry Store
"Uptown , Dallas, TX",32.803657,-96.798105,Lure Salon,32.809597357721366,-96.79658696659378,Cosmetics Shop
"Uptown , Dallas, TX",32.803657,-96.798105,Starbucks,32.80835525,-96.79813364,Coffee Shop
"Uptown , Dallas, TX",32.803657,-96.798105,State Street Coffee,32.79752245523624,-96.79775825603122,Coffee Shop
"Uptown , Dallas, TX",32.803657,-96.798105,Beverly Hills Nail Spa,32.79766554592606,-96.80202154049533,Nail Salon
"Uptown , Dallas, TX",32.803657,-96.798105,Garden Nails Spa,32.798751808163814,-96.80171462401277,Nail Salon
"Uptown , Dallas, TX",32.803657,-96.798105,Chipotle Mexican Grill,32.79815887964381,-96.801636222801,Mexican Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Rosewood Mansion on Turtle Creek,32.80426690775565,-96.80704088033923,Hotel
"Uptown , Dallas, TX",32.803657,-96.798105,J.Crew,32.807635,-96.795794,Clothing Store
"Uptown , Dallas, TX",32.803657,-96.798105,S & D Oyster Company,32.79780126876395,-96.80146921169668,Seafood Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Turtle Creek Trail,32.809341976535535,-96.80307186181676,Trail
"Uptown , Dallas, TX",32.803657,-96.798105,Fogo de Chao Brazillian Steakhouse,32.79706385340871,-96.80180084991446,Brazilian Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Yumilicious,32.809172427422745,-96.79530631400144,Dessert Shop
"Uptown , Dallas, TX",32.803657,-96.798105,The Mansion Bar,32.80428180389846,-96.80706159214422,Cocktail Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Avanti Ristorante,32.798098,-96.800895,Italian Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Si Tapas,32.795962892987056,-96.79673969733417,Tapas Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Uptown Yoga,32.79542439993307,-96.79842509643464,Yoga Studio
"Uptown , Dallas, TX",32.803657,-96.798105,Crushcraft Thai Street Eats,32.7981,-96.80365,Thai Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Whole Foods Market,32.7958041766768,-96.80160215524401,Grocery Store
"Uptown , Dallas, TX",32.803657,-96.798105,Katy Trail Ice House,32.80102573630131,-96.80750583200836,Beer Garden
"Uptown , Dallas, TX",32.803657,-96.798105,The Mansion Restaurant,32.804115786873375,-96.80682979452354,American Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Jakes Burgers and Beer,32.79759252205057,-96.80126816952603,Burger Joint
"Uptown , Dallas, TX",32.803657,-96.798105,The Nodding Donkey,32.79666396957031,-96.7970897051289,Sports Bar
