,Neighborhood,Longitude,Latitude,City
113,Stonegate-Queensway,-79.50112821329999,43.635518132899996,"Toronto, Canada"
114,Tam O'Shanter-Sullivan,-79.3029187122,43.7801298547,"Toronto, Canada"
115,Taylor-Massey,-79.2959011188,43.6949981893,"Toronto, Canada"
116,The Beaches,-79.2996013043,43.671049993100006,"Toronto, Canada"
117,Thistletown-Beaumond Heights,-79.56349101720001,43.737987917299996,"Toronto, Canada"
118,Thorncliffe Park,-79.3499836075,43.707749211899994,"Toronto, Canada"
119,Trinity-Bellwoods,-79.4153421634,43.6501763,"Toronto, Canada"
120,University,-79.401179748,43.6625062026,"Toronto, Canada"
121,Victoria Village,-79.31487382649999,43.728489019399994,"Toronto, Canada"
122,Waterfront Communities-The Island,-79.3772023146,43.6338803623,"Toronto, Canada"
123,West Hill,-79.1766760264,43.7674902567,"Toronto, Canada"
124,West Humber-Clairville,-79.59635645350001,43.7161804033,"Toronto, Canada"
125,Westminster-Branson,-79.4524182256,43.7788132165,"Toronto, Canada"
126,Weston,-79.5157225505,43.702716046300004,"Toronto, Canada"
127,Weston-Pellam Park,-79.4602439114,43.67396203770001,"Toronto, Canada"
128,Wexford/Maryvale,-79.2986365699,43.7485721411,"Toronto, Canada"
129,Willowdale East,-79.40148378960001,43.7706022616,"Toronto, Canada"
130,Willowdale West,-79.4275578,43.771210491800005,"Toronto, Canada"
131,Willowridge-Martingrove-Richview,-79.5542210494,43.683644963,"Toronto, Canada"
132,Woburn,-79.2285857671,43.766740239300006,"Toronto, Canada"
133,Woodbine Corridor,-79.3154073786,43.6767729247,"Toronto, Canada"
134,Woodbine-Lumsden,-79.3111635266,43.694106742399995,"Toronto, Canada"
135,Wychwood,-79.425514947,43.6769192679,"Toronto, Canada"
136,Yonge-Eglinton,-79.4035901675,43.704689367700006,"Toronto, Canada"
137,Yonge-St.Clair,-79.3978707687,43.687858872,"Toronto, Canada"
138,York University Heights,-79.4888829298,43.765736490900004,"Toronto, Canada"
139,Yorkdale-Glen Park,-79.4571080738,43.714671529300006,"Toronto, Canada"
