,Neighborhood,Borough,Longitude,Latitude,City
85,Dunning,DUNNING,-87.80601984499998,41.94651066400007,"Chicago, Illinois"
86,Ashburn,ASHBURN,-87.70836548799997,41.74575691500007,"Chicago, Illinois"
87,Austin,AUSTIN,-87.75800980499997,41.890650003000076,"Chicago, Illinois"
88,Englewood,ENGLEWOOD,-87.65470601899995,41.776555622000046,"Chicago, Illinois"
89,Roseland,"WASHINGTON HEIGHTS,ROSELAND",-87.62336576899997,41.706589962000066,"Chicago, Illinois"
90,Garfield Ridge,MIDWAY AIRPORT,-87.76962465799994,41.79259213500006,"Chicago, Illinois"
91,Lincoln Park,LINCOLN PARK,-87.63580953299999,41.925408821000076,"Chicago, Illinois"
92,Lake View,LAKE VIEW,-87.66308840499994,41.93978583200004,"Chicago, Illinois"
93,Hegewisch,SOUTHEAST SIDE,-87.54071503299997,41.66367125700003,"Chicago, Illinois"
94,"Sauganash,Forest Glen","SAUGANASH,FOREST GLEN",-87.75835628899995,41.99393065500004,"Chicago, Illinois"
95,South Deering,SOUTHEAST SIDE,-87.57005674799996,41.69063701300007,"Chicago, Illinois"
96,Norwood Park,NORWOOD PARK,-87.80453105599997,41.98501519000007,"Chicago, Illinois"
97,O'Hare,OHARE,-87.91364653299996,41.98024003200004,"Chicago, Illinois"
